City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,puerto aysen,-45.4,-72.7,9.11,76,100,0.35,CL,1701066657
269,bucerias,20.75,-105.3333,24.43,74,100,1.87,MX,1701066657
270,linqiong,30.4159,103.4609,18.9,66,72,1.74,CN,1701066657
271,nishinoomote,30.7333,131.0,19.31,68,20,8.23,JP,1701066657
272,swakopmund,-22.6833,14.5333,14.99,89,63,3.13,NA,1701066618
273,vyazemskiy,47.5378,134.7525,-16.71,98,78,0.6,RU,1701066657
274,lensk,60.7253,114.9278,-15.63,94,100,4.37,RU,1701066658
275,punta arenas,-53.15,-70.9167,3.06,81,0,2.06,CL,1701066658
276,severo-yeniseyskiy,60.3725,93.0408,-19.22,91,5,0.93,RU,1701066658
277,tsiombe,-25.3,45.4833,35.4,30,0,0.87,MG,1701066658
278,sibiti,-3.6819,13.3499,22.42,96,99,1.46,CG,1701066658
279,yemva,62.59,50.8594,-6.24,95,100,3.31,RU,1701066658
280,la passe,45.5549,-0.8967,5.13,87,100,4.37,FR,1701066658
281,pontiac,42.6389,-83.2911,1.08,93,100,4.63,US,1701066659
282,bata,1.8639,9.7658,26.01,85,100,0.21,GQ,1701066659
283,antonio enes,-16.2325,39.9086,30.62,62,18,3.64,MZ,1701066659
284,mount pearl,47.5166,-52.7813,1.29,88,100,2.57,CA,1701066659
285,belmonte,-15.8631,-38.8828,23.72,91,87,1.45,BR,1701066659
286,ust-tsilma,65.441,52.1498,-18.62,98,100,0.93,RU,1701066659
287,emerald,-23.5333,148.1667,24.08,82,100,3.42,AU,1701066659
288,harstad,68.799,16.5293,-1.58,90,43,7.6,NO,1701066580
289,tocopilla,-22.092,-70.1979,17.93,73,22,1.19,CL,1701066659
290,lluta,-16.0147,-72.0142,11.75,51,100,0.74,PE,1701066660
291,kachug,53.9606,105.8817,-14.5,72,43,0.76,RU,1701066660
292,becancour,46.3334,-72.4324,1.96,95,100,3.6,CA,1701066660
293,ust'-ilimsk,58.0006,102.6619,-17.65,82,99,0.45,RU,1701066517
294,cozumel,20.5083,-86.9458,23.86,95,4,2.14,MX,1701066660
295,long beach,33.767,-118.1892,17.29,32,0,3.09,US,1701066660
296,sur,22.5667,59.5289,26.71,44,0,2.71,OM,1701066660
297,carnarvon,-24.8667,113.6333,23.99,61,100,6.39,AU,1701066661
298,norilsk,69.3535,88.2027,-23.83,96,23,2.51,RU,1701066421
299,turpan,42.9333,89.1667,10.43,22,6,0.97,CN,1701066613
300,udachny,66.4167,112.4,-21.09,99,100,2.85,RU,1701066661
301,manthani,18.65,79.6667,30.26,50,0,4.28,IN,1701066661
302,lerma,42.0261,-3.7598,3.31,88,94,2.62,ES,1701066662
303,rongelap,11.1635,166.8941,27.8,79,95,9.8,MH,1701066662
304,santiago del torno,-17.9833,-63.3833,23.1,91,100,2.48,BO,1701066662
305,argostolion,38.1811,20.489,8.04,76,20,2.06,GR,1701066662
306,port douglas,-16.4833,145.4667,25.45,80,100,1.4,AU,1701066662
307,daman,20.4167,72.85,25.53,77,40,2.37,IN,1701066662
308,saint-pierre,-21.3393,55.4781,28.65,61,100,4.12,RE,1701066662
309,san luis de la loma,17.2706,-100.8939,25.72,78,100,2.06,MX,1701066663
310,tlahualilo de zaragoza,26.1167,-103.45,13.99,71,100,3.16,MX,1701066663
311,port macquarie,-31.4333,152.9167,25.5,79,92,0.72,AU,1701066663
312,ghat,24.9647,10.1728,16.18,27,3,1.89,LY,1701066663
313,concepcion,-36.827,-73.0498,12.89,94,100,4.63,CL,1701066663
314,inhapi,-9.2214,-37.7486,19.51,86,0,1.9,BR,1701066663
315,san mariano,7.5,126.0,28.36,79,45,1.01,PH,1701066663
316,kingston,17.997,-76.7936,26.53,78,20,2.06,JM,1701066664
317,borogontsy,62.6683,131.1683,-28.92,98,100,0.96,RU,1701066664
318,nova vicosa,-17.8919,-39.3719,24.5,75,94,3.2,BR,1701066664
319,lautoka,-17.6167,177.4667,27.92,78,40,5.66,FJ,1701066664
320,the pas,53.8251,-101.2541,-13.99,72,100,6.17,CA,1701066664
321,usinsk,65.9939,57.5281,-18.23,94,100,3.05,RU,1701066621
322,kasongo-lunda,-6.4667,16.8167,22.29,96,100,0.36,CD,1701066664
323,taghazout,30.5426,-9.7112,13.43,68,4,0.6,MA,1701066664
324,coahuayana de hidalgo,18.7,-103.6583,23.48,77,62,2.02,MX,1701066665
325,yinchuan,38.4681,106.2731,6.93,25,0,1.7,CN,1701066665
326,nantucket,41.2835,-70.0995,11.08,90,100,12.86,US,1701066665
327,taroa,8.7058,171.2275,27.95,80,93,9.33,MH,1701066665
328,malanville,11.8685,3.3899,26.7,66,99,1.12,BJ,1701066665
329,pierre,44.3683,-100.351,-6.75,68,75,3.58,US,1701066665
330,qui nhon,13.7667,109.2333,25.4,77,99,9.26,VN,1701066666
331,puerto real,36.5282,-6.1901,12.09,87,75,1.03,ES,1701066666
332,malaya vishera,58.8454,32.2222,-8.02,85,100,5.19,RU,1701066666
333,plettenberg bay,-34.0527,23.3716,23.19,59,40,2.44,ZA,1701066666
334,el porvenir,13.7617,-87.3458,24.63,80,5,3.0,HN,1701066666
335,kasungu,-13.0333,33.4833,29.63,34,100,3.65,MW,1701066666
336,cide,41.8921,33.0044,3.54,91,100,7.43,TR,1701066666
